"表 1 2009年至2018年按傷勢情況劃分的道路交通意外傷亡者數目、傷亡率及死亡率 Table 1 Road traffic accident casualties by degree of injury, casualty rates and fatality rates, 2009 to 2018",,,,,,,,,,
年 Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
傷亡人數  Number of casualties,,,,,,,,,,
(i) 死亡者 (i) Killed,139,117,130,120,130,100,122,132,108,135
(ii) 重傷者  (ii) Seriously injured,2096,2160,2326,2521,2630,2615,2703,2492,2214,1840
(iii) 輕傷者  (iii) Slightly injured,15903,16847,17347,17569,17836,17139,17556,17508,17566,17662
(iv) 總傷亡人數 (iv) Total,18138,19124,19803,20210,20596,19854,20381,20132,19888,19637
傷亡率  Casualty rate,,,,,,,,,,
(i) 每宗意外計 (i) per accident,1.27,1.28,1.27,1.27,1.28,1.26,1.26,1.25,1.26,1.23
(ii) 每千名人口計 (ii) per 1?000 population,2.6,2.72,2.8,2.83,2.87,2.75,2.8,2.74,2.69,2.64
(iii) 每千部領牌車輛計 (iii) per 1?000 licensed vehicles,31.5,32.2,32,31.6,30.9,28.8,28.5,27.3,26.2,25.3
死亡率  Fatality rate,,,,,,,,,,
(i) 每千名傷亡者計 (i) per 1?000 casualties,7.66,6.12,6.56,5.94,6.31,5.04,5.99,6.56,5.43,6.87
(ii) 每千宗意外計 (ii) per 1?000 accidents,9.71,7.83,8.36,7.55,8.08,6.33,7.54,8.2,6.87,8.47
(iii) 每百萬人口計 (iii) per 1?000?000 population,19.93,16.66,18.38,16.78,18.11,13.83,16.73,17.99,14.61,18.12
(iv) 每千登記死亡人數計 (iv) per 1?000 total registered deaths,3.39,2.74,3.08,2.75,3,2.19,2.61,2.83,2.35,2.84
(v) 每千部領牌車輛計  (v) per 1?000 licensed vehicles,0.24,0.2,0.21,0.19,0.2,0.14,0.17,0.18,0.14,0.17
