"表 2 2009年至2018年按年齡組別及道路使用者類別劃分的道路交通意外傷亡者數目 Table 2 Number of road traffic accident casualties by age group by class of road user, 2009 to 2018",,,,,,,,,,
年 Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
年齡組別／    道路使用者類別 Age group/    Class of road user,,,,,,,,,,
20歲以下 Under 20,,,,,,,,,,
行人 Pedestrian,592,632,592,554,519,550,479,436,404,388
行人 Pedestrian,0.033,0.033,0.03,0.027,0.025,0.028,0.024,0.022,0.02,0.02
乘客 Passenger,804,826,884,855,951,853,756,713,704,606
乘客 Passenger,0.044,0.043,0.045,0.042,0.046,0.043,0.037,0.035,0.035,0.031
駕駛者 Driver,504,567,573,598,601,561,667,473,401,431
駕駛者 Driver,0.028,0.03,0.029,0.03,0.029,0.028,0.033,0.023,0.02,0.022
其中 Of which,,,,,,,,,,
騎電單車者 Motor Cyclist,7,8,11,5,15,8,11,8,9,5
騎電單車者 Motor Cyclist,§,§,0.001,§,0.001,§,0.001,§,§,§
騎單車者 Cyclist,468,539,541,580,564,541,632,447,382,412
騎單車者 Cyclist,0.026,0.028,0.027,0.029,0.027,0.027,0.031,0.022,0.019,0.021
小計 Sub-total,1900,2025,2049,2007,2071,1964,1902,1622,1509,1425
小計 Sub-total,0.105,0.106,0.103,0.099,0.101,0.099,0.093,0.081,0.076,0.073
20歲至39歲 20 - 39,,,,,,,,,,
行人 Pedestrian,939,1079,920,987,931,871,781,804,662,668
行人 Pedestrian,0.052,0.056,0.046,0.049,0.045,0.044,0.038,0.04,0.033,0.034
乘客 Passenger,2367,2328,2316,2417,2535,2262,2310,2293,2229,1986
乘客 Passenger,0.13,0.122,0.117,0.12,0.123,0.114,0.113,0.114,0.112,0.101
駕駛者 Driver,4032,3940,4211,4228,4201,4164,4370,4303,4217,4224
駕駛者 Driver,0.222,0.206,0.213,0.209,0.204,0.21,0.214,0.214,0.212,0.215
其中 Of which,,,,,,,,,,
騎電單車者 Motor Cyclist,1679,1490,1446,1349,1297,1296,1288,1278,1190,1240
騎電單車者 Motor Cyclist,0.093,0.078,0.073,0.067,0.063,0.065,0.063,0.063,0.06,0.063
騎單車者 Cyclist,550,575,835,934,900,824,810,636,544,473
騎單車者 Cyclist,0.03,0.03,0.042,0.046,0.044,0.042,0.04,0.032,0.027,0.024
小計 Sub-total,7338,7347,7447,7632,7667,7297,7461,7400,7108,6878
小計 Sub-total,0.405,0.384,0.376,0.378,0.372,0.368,0.366,0.368,0.357,0.35
40歲至59歲 40 - 59,,,,,,,,,,
行人 Pedestrian,1097,1173,1237,1165,1198,1135,1128,1038,958,959
行人 Pedestrian,0.06,0.061,0.062,0.058,0.058,0.057,0.055,0.052,0.048,0.049
乘客 Passenger,1891,2083,2164,2171,2288,2184,2198,2136,2010,1830
乘客 Passenger,0.104,0.109,0.109,0.107,0.111,0.11,0.108,0.106,0.101,0.093
駕駛者 Driver,3337,3648,3905,3992,4013,3932,4127,4268,4297,4399
駕駛者 Driver,0.184,0.191,0.197,0.198,0.195,0.198,0.202,0.212,0.216,0.224
其中 Of which,,,,,,,,,,
騎電單車者 Motor Cyclist,660,694,659,693,683,759,771,810,809,890
騎電單車者 Motor Cyclist,0.036,0.036,0.033,0.034,0.033,0.038,0.038,0.04,0.041,0.045
騎單車者 Cyclist,435,483,640,698,727,711,700,663,578,519
騎單車者 Cyclist,0.024,0.025,0.032,0.035,0.035,0.036,0.034,0.033,0.029,0.026
小計 Sub-total,6325,6904,7306,7328,7499,7251,7453,7442,7265,7188
小計 Sub-total,0.349,0.361,0.369,0.363,0.364,0.365,0.366,0.37,0.365,0.366
"表 2 （續）2009年至2018年按年齡組別及道路使用者類別劃分的道路交通意外傷亡者數目 Table 2 (cont'd)   Number of road traffic accident casualties by age group by class of road user, 2009 to 2018",,,,,,,,,,
年齡組別／    道路使用者類別 Age group/    Class of road user,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
60歲及以上 60 and over,,,,,,,,,,
行人 Pedestrian,871,914,1001,1026,978,1001,1092,1104,1064,1116
行人 Pedestrian,0.048,0.048,0.051,0.051,0.047,0.05,0.054,0.055,0.053,0.057
乘客 Passenger,979,1065,1126,1163,1358,1295,1388,1270,1373,1442
乘客 Passenger,0.054,0.056,0.057,0.058,0.066,0.065,0.068,0.063,0.069,0.073
駕駛者 Driver,503,565,656,761,842,929,962,1152,1234,1317
駕駛者 Driver,0.028,0.03,0.033,0.038,0.041,0.047,0.047,0.057,0.062,0.067
其中 Of which,,,,,,,,,,
騎電單車者 Motor Cyclist,21,31,30,25,46,50,66,81,100,81
