"表 3 2009年至2018年按年齡組別劃分的道路交通意外傷亡率(1) Table 3 Casualty rates(1) of road traffic accidents by age group, 2009 to 2018", ,,,,,,,,,
年 Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
年齡組別 Age group,,,,,,,,,,
0?-?19,1.5,1.6,1.6,1.6,1.7,1.7,1.6,1.4,1.3,1.2
20?-?24,3,2.8,3,3,3.1,2.9,2.9,2.9,2.9,2.6
25?-?29,4.1,3.8,3.7,3.8,3.8,3.8,3.8,3.6,3.6,3.5
30?-?34,3.7,3.9,3.9,4,3.9,3.7,3.7,3.8,3.6,3.5
35?-?39,3.1,3.4,3.5,3.6,3.7,3.4,3.8,3.7,3.4,3.4
40?-?44,2.8,3,3.1,3.1,3.2,3.1,3.3,3.2,3.4,3.3
45?-?49,2.6,2.8,3,3,3,3,3,3.1,2.9,3.1
50?-?54,2.8,3,3,3,3.2,2.9,3,3,2.9,2.9
55?-?59,2.6,2.9,3.2,3.2,3.1,3,3,3.1,3,2.9
60?-?64,2.3,2.4,2.5,2.6,2.7,2.7,2.7,2.7,2.7,2.8
65?-?69 ,1.8,2,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.3
70?-?74,1.8,1.6,1.8,1.8,2,2,1.9,2,2,1.9
75?-?79,1.8,2.1,1.9,1.8,1.8,1.9,1.8,1.6,1.5,1.7
80?-?84,1.8,1.9,1.9,1.9,2.1,1.6,2,1.9,1.7,1.6
?85 ,1.3,1.3,1.4,1.6,1.3,1.2,1.4,1.1,1.2,1.3
合計 Overall,2.6,2.7,2.8,2.8,2.9,2.7,2.8,2.7,2.7,2.6
註釋： Note: ,(1)傷亡率指按每千名年中人口計算的傷亡者數目。 (1)  Casualty rate refers to the number of casualties per 1 000 mid-year population. ,,,,,,,,,
