"表 5 2009年至2018年按意外碰撞類別及嚴重程度劃分的道路交通意外宗數 Table 5 Number of road traffic accidents by type of accident collision by severity, 2009 to 2018", ,,,,,,,,,,
年 Year,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
車輛碰撞類別 Type of vehicle collision,嚴重程度 Severity,,,,,,,,,,
車撞行人 Vehicle/Pedestrian,致命 Fatal,68,66,72,67,79,61,79,81,60,59
車撞行人 Vehicle/Pedestrian,嚴重 Serious,688,705,735,722,725,712,753,734,635,575
車撞行人 Vehicle/Pedestrian,輕微 Slight,2527,2820,2682,2677,2525,2537,2386,2357,2263,2326
車撞行人 Vehicle/Pedestrian,小計 Sub-total,3283,3591,3489,3466,3329,3310,3218,3172,2958,2960
車撞車 Vehicle/Vehicle,致命 Fatal,35,31,31,29,24,27,23,29,30,34
車撞車 Vehicle/Vehicle,嚴重 Serious,593,648,661,688,762,761,789,767,724,573
車撞車 Vehicle/Vehicle,輕微 Slight,5018,5307,5646,5612,5733,5868,6286,6711,6894,7242
車撞車 Vehicle/Vehicle,小計 Sub-total,5646,5986,6338,6329,6519,6656,7098,7507,7648,7849
車撞物(1) Vehicle/Object(1),致命 Fatal,15,13,19,16,22,7,10,14,11,10
車撞物(1) Vehicle/Object(1),嚴重 Serious,288,329,331,361,399,203,167,161,134,128
車撞物(1) Vehicle/Object(1),輕微 Slight,1483,1562,1545,1527,1646,690,750,751,681,701
車撞物(1) Vehicle/Object(1),小計 Sub-total,1786,1904,1895,1904,2067,900,927,926,826,839
車輛沒有碰撞(2) Vehicle/None(2),致命 Fatal,8,4,6,4,3,4,5,5,3,4
車輛沒有碰撞(2) Vehicle/None(2),嚴重 Serious,374,370,463,614,590,832,801,717,577,406
車輛沒有碰撞(2) Vehicle/None(2),輕微 Slight,3219,3088,3350,3577,3581,4088,4121,3772,3713,3877
車輛沒有碰撞(2) Vehicle/None(2),小計 Sub-total,3601,3462,3819,4195,4174,4924,4927,4494,4293,4287
所有類別總數 All types,致命 Fatal,126,114,128,116,128,99,117,129,104,107
所有類別總數 All types,嚴重 Serious,1943,2052,2190,2385,2476,2508,2510,2379,2070,1682
所有類別總數 All types,輕微 Slight,12247,12777,13223,13393,13485,13183,13543,13591,13551,14146
所有類別總數 All types,小計 Sub-total,14316,14943,15541,15894,16089,15790,16170,16099,15725,15935
註釋： Notes:,(1)包括車輛碰撞類別不詳的意外。 (1)Including accidents of unknown type of vehicle collision.,,,,,,,,,,
