"表 6 2009年至2018年按車輛類別劃分的涉及意外的車輛數字和涉及意外率(1) Table 6 Vehicle involvements and involvement rates(1) by class of vehicle, 2009 to 2018",,,,,,,,,,
年 Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
車輛種類 Class of vehicle,,,,,,,,,,
機動車輛 Motor vehicles,,,,,,,,,,
電單車 Motor cycle,2556,2428,2328,2245,2222,2281,2328,2355,2280,2386
電單車 Motor cycle,7.94,7.97,7.78,7.49,7.53,7.45,7.14,6.95,6.34,6.61
私家車 Private car,6085,6255,6591,6859,7093,7224,7757,8207,8607,8813
私家車 Private car,1.34,1.34,1.36,1.38,1.35,1.36,1.39,1.38,1.43,1.43
的士 Taxi,3801,4053,4259,4240,4395,4211,4332,4493,4359,4436
的士 Taxi,1.78,1.84,1.82,1.77,1.78,1.71,1.71,1.75,1.76,1.75
公共小巴 Public light bus,1110,1146,1142,1067,1128,1085,1105,1080,1010,958
公共小巴 Public light bus,2.94,3.15,2.93,2.77,2.83,2.61,2.61,2.57,2.56,2.51
公共巴士(2) Public bus(2),2322,2442,2629,2693,2847,2850,2762,2722,2726,2799
公共巴士(2) Public bus(2),2.71,2.93,3.14,3.25,3.42,3.52,3.48,3.39,3.43,3.44
輕型貨車 Light goods vehicle,2527,2726,2689,2637,2706,2621,2708,2947,2790,2896
輕型貨車 Light goods vehicle,1.12,1.19,1.19,1.18,1.23,1.19,1.2,1.29,1.23,1.22
中型及重型貨車 Medium and heavy goods vehicles,907,1031,1141,1105,1085,1125,1063,1167,1162,1083
中型及重型貨車 Medium and heavy goods vehicles,0.76,0.83,0.91,0.89,0.87,0.93,0.86,0.96,0.94,0.9
電車 Tram,76,75,59,44,59,43,38,50,60,49
電車 Tram,12.52,12.9,10.86,8.54,11.35,9.07,7.71,10.11,12.73,10.89
輕鐵車輛 Light rail vehicle,8,15,11,13,21,17,11,13,10,10
輕鐵車輛 Light rail vehicle,1.09,1.99,1.42,1.68,2.72,2.18,1.38,1.61,1.24,1.24
其他機動車輛(3) Other motor vehicles(3),216,236,229,272,277,272,257,257,208,231
小計 Sub-total,19608,20407,21078,21175,21833,21729,22361,23291,23212,23661
小計 Sub-total,1.66,1.7,1.71,1.7,1.7,1.69,1.68,1.7,1.7,1.69
非機動車輛(4) Non-motor vehicles(4),,,,,,,,,,
單車 Bicycle,1882,2027,2500,2757,2719,2576,2685,2238,2061,1942
手推車 Handcart,47,29,29,31,20,22,14,20,15,8
小計 Sub-total,1929,2056,2529,2788,2739,2598,2699,2258,2076,1950
車輛類別不詳(4) Unknown(4),144,139,126,161,101,105,125,109,84,115
所有車輛(4) All vehicles(4),21681,22602,23733,24124,24673,24432,25185,25658,25372,25726
註釋： Notes: ,"(1) 括號內數字顯示個別機動車輛種類的涉及意外率，即每百萬車輛行駛公里計涉及意外的車輛數目。 (1) Figures in brackets represent the involvement rates of the respective classes of motor vehicle, i.e. the number of vehicles involved per million vehicle-kilometres.",,,,,,,,,
註釋： Notes: ,(2) 公共巴士包括專營巴士及非專營公共巴士。 (2) Public buses include franchised buses and non-franchised buses.,,,,,,,,,
註釋： Notes: ,"(3) 其他機動車輛包括但不限於拖車、特別用途車輛、私家小巴、私家巴士、高爾夫球車和鄉村車輛。 (3) Other motor vehicles include, but not limited to,  trailer, special purpose vehicle, private light bus, private bus, golf cart and village vehicle.",,,,,,,,,
註釋： Notes: ,(4) 涉及意外率數字不適用。 (4) Involvement rate is not applicable.,,,,,,,,,
