District Council district,Male,Female,Both sexes,Both sexes rate,Sex ratio[1],Sex ratio[2],latitude,longitude
Central & Western,105900,134600,240500,3.2,787,914,22.273,114.1499
Wan Chai,75800,102700,178400,2.4,738,872,22.276,114.1751
Eastern,242800,302800,545600,7.4,802,898,22.2734,114.2361
Southern,116800,147800,264600,3.6,790,912,22.2432,114.1974
Yau Tsim Mong,150200,179800,329900,4.4,835,916,22.3116,114.1707
Sham Shui Po,191100,225400,416500,5.6,848,915,22.3286,114.1603
Kowloon City,187600,232300,419900,5.7,808,905,22.3186,114.1796
Wong Tai Sin,192400,223700,416100,5.6,860,908,22.3430,114.193
Kwun Tong,318500,370000,688500,9.3,861,902,22.3104,114.2227
Kwai Tsing,233200,269200,502400,6.8,866,911,22.3549,114.1261
Tsuen Wan,142800,169000,311800,4.2,845,923,22.3699,114.1144
Tuen Mun,230100,265000,495100,6.7,868,914,22.3908,113.9725
Yuen Long,298500,346500,645000,8.7,862,921,22.4445,114.0222
North,147200,166900,314100,4.2,882,933,22.5009,114.1558
Tai Po,139800,167000,306800,4.1,837,918,22.4423,114.1655
Sha Tin,312700,375500,688100,9.3,833,907,22.3771,114.1974
Sai Kung,213700,258800,472500,6.4,826,910,22.3837,114.2708
Islands,85600,100900,186500,2.5,848,911,22.2628,113.9655
