Location / Road Segment,Lamppost Number,Latitude,Longitude,Devices for collection of traffic data,Meteorological Sensors for collection of experimental data at district level,Devices for collection of air quality data at district level,Positioning services - Bluetooth Beacon,Positioning services - RFID tag,Positioning services - Geo-QR Code Tag,Positioning services - Geo-marker,Free Wi-Fi service
Sheung Yuet Road,E7709,22.321646,114.207771,,,,,Y,,,
Sheung Yuet Road,E7707,22.321684,114.208173,,,,,Y,,,
Sheung Yuet Road,E7703,22.321711,114.208482,,,,,,,Y,
Sheung Yuet Road,E7701,22.321741,114.208836,,,,,,,,
Sheung Yuet Road,E8450,22.321826,114.209468,,,,,Y,Y,,
Sheung Yuet Road,E7691,22.321862,114.209788,,,,,,Y,,
Sheung Yuet Road,E7689,22.321901,114.210125,,,,,Y,Y,,
Sheung Yuet Road,AB1558,22.321932,114.210415,,,,,,,,
Sheung Yuet Road,E7685,22.321976,114.210801,,,,,Y,Y,,
Sheung Yuet Road,AA6337,22.322014,114.211141,,,,,Y,,,
Sheung Yuet Road,GF0709,22.322039,114.211375,,,,,Y,Y,Y,
Sheung Yuet Road,E7710,22.321498,114.207796,,,,,,Y,,
Sheung Yuet Road,E7708,22.321535,114.20819,,,,,Y,,,
Sheung Yuet Road,E7704,22.321562,114.208498,,,,,,,,
Sheung Yuet Road,AB3072,22.321653,114.209476,,,,,Y,Y,,
Sheung Yuet Road,E7692,22.321696,114.209811,,,,,Y,,,
Sheung Yuet Road,E7690,22.321733,114.210143,,,,,Y,,Y,
Sheung Yuet Road,E7688,22.321771,114.210473,,,,,Y,,,
Sheung Yuet Road,AA6338,22.32184,114.211153,,,,,Y,,,
Sheung Yuet Road,GF0710,22.32187,114.211365,,,,,Y,Y,,
Shing Kai Road,DF3633,22.333017,114.204519,,Y,,Y,Y,Y,Y,
Shing Kai Road,DF3634,22.332853,114.204529,,,,Y,Y,Y,,
Shing Kai Road,DF3635,22.332618,114.204559,,,,Y,Y,Y,,Y
Shing Kai Road,DF3636,22.332412,114.204568,,,,Y,Y,Y,,
Shing Kai Road,DF3637,22.332194,114.204583,,Y,,Y,Y,Y,,
Shing Kai Road,DF3638,22.331973,114.204609,,,,Y,Y,Y,,
Shing Kai Road,DF3639,22.331762,114.204635,,,,Y,Y,Y,,Y
Shing Kai Road,DF3640,22.331537,114.204654,,,,Y,Y,Y,,
Shing Kai Road,DF3641,22.331311,114.204642,,Y,,Y,Y,Y,Y,
Shing Kai Road,DF3644,22.331033,114.204639,,,,Y,Y,Y,,
Shing Kai Road,DF3645,22.330803,114.204641,,,,Y,Y,Y,,
Shing Kai Road,DF3646,22.330589,114.204643,,,,Y,Y,Y,,
Shing Kai Road,DF3647,22.330369,114.20464,,Y,,Y,Y,Y,,
Shing Kai Road,DF3648,22.330144,114.204638,,,,Y,Y,Y,,Y
Shing Kai Road,DF3649,22.329945,114.204631,,,,Y,Y,Y,Y,Y
Shing Kai Road,DF3650,22.329722,114.204622,,,,Y,Y,Y,,
Shing Kai Road,DF3651,22.329522,114.204611,,Y,Y,Y,Y,Y,,
Shing Kai Road,DF3652,22.32929,114.204601,,,,Y,Y,Y,,
Shing Kai Road,DF3653,22.329078,114.204591,,,,Y,Y,Y,,
Shing Kai Road,DF3654,22.328862,114.204576,,Y,,Y,Y,Y,Y,
Kwun Tong Town Centre,GF3637,22.314322,114.22374,,Y,,Y,Y,Y,Y,
Kwun Tong Town Centre,GF3638,22.314722,114.223885,,Y,,Y,Y,Y,,
Kwun Tong Town Centre,GF3639,22.314791,114.224023,,,,Y,Y,Y,,Y
Kwun Tong Town Centre,AB4816,22.315029,114.224396,,,,,Y,,Y,
Kwun Tong Town Centre,GF3640,22.31493,114.224662,,Y,,Y,Y,Y,,
Kwun Tong Town Centre,AB4818,22.315157,114.224991,,,,,Y,,,
Kwun Tong Town Centre,GF3641,22.315073,114.225355,,Y,,Y,Y,,,
Kwun Tong Town Centre,GF3642,22.31499,114.225558,,,,,Y,Y,Y,
Kwun Tong Town Centre,GF3643,22.314587,114.225609,,Y,,Y,Y,Y,,
Kwun Tong Town Centre,GF3644,22.314045,114.225841,,Y,,Y,Y,Y,,
